Age,Location,Income_Level,Avg_Transaction_Value,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Customer_Satisfaction_Score,LTV,Transaction_Value_Range,Spend_Per_Active_Day,Transactions_Per_Active_Day,Spend_Per_Transaction,Inactivity_Ratio,Support_Burden
18,Rural,Middle,5026.946581,434,26,188.6294401,Daily,UPI,6,372319.2285,11384.3485359,13198.019752727272,2.6254545454545455,5026.946581717451,1.2872727272727273,139.73088524
52,Suburban,Middle,3150.102116,3123,46,4316.739697,Weekly,UPI,2,22027.99777,14093.1995539,961.0481033898305,0.3050847457627119,3150.102116666667,1.7881355932203389,19.57207109
66,Rural,Low,5568.290584,849,10,3291.671098,Weekly,Credit Card,1,297728.3944,12147.614754,9446.524920127795,1.6964856230031948,5568.290583804142,0.610223642172524,509.84799176
22,Suburban,Low,45.24600722,106,46,3905.468927,Daily,Wallet Balance,7,10271.0042,173.13370896,11.865667599423631,0.2622478386167147,45.24600721978022,0.8242074927953891,219.955788
36,Suburban,Middle,2409.058981,2671,22,909.3871321,Weekly,Wallet Balance,7,86599.98176,3977.6407944,2617.78611299639,1.0866425992779782,2409.0589810631227,0.6570397111913358,940.1771937599999
24,Rural,Middle,15019.09897,119,21,1610.788416,Monthly,Credit Card,10,1098915.371,11219.150620999999,82377.4821969697,5.484848484848484,15019.098964088398,1.1742424242424243,230.95717570000002
54,Rural,Low,4463.90878,3034,4,2218.956516,Weekly,Wallet Balance,6,420698.9568,16548.083712,27846.288102040813,6.238095238095238,4463.908779716467,2.326530612244898,939.62344064
33,Suburban,High,19886.04968,4809,47,3290.171724,Monthly,Wallet Balance,2,1842200.88,58164.212851,630182.0572413793,31.689655172413794,19886.049684439608,6.620689655172414,0.0
19,Suburban,Middle,3364.952112,1892,33,2674.218839,Monthly,Credit Card,8,260734.3756,8880.756483,7553.134097859327,2.2446483180428136,3364.9521117166214,0.24770642201834864,114.451662
40,Rural,Middle,15777.54659,2161,30,2757.28624,Daily,Debit Card,4,352316.118,30198.900396,10699.148784375,0.678125,15777.546594470046,1.046875,1072.78662265
29,Rural,Middle,14103.83899,3716,46,784.7142439,Daily,Wallet Balance,7,1055271.809,12184.457975000001,46072.54071111111,3.2666666666666666,14103.83899319728,1.4755555555555555,1131.331495
65,Suburban,Low,6449.421535,759,36,2373.93508,Daily,Credit Card,8,607212.6401,16565.368469,42826.01494244604,6.640287769784172,6449.421535211267,0.35251798561151076,272.8630755
24,Suburban,Low,6621.47548,1646,46,4118.99144,Weekly,Debit Card,7,77722.96398,27766.321022,2245.3446262975776,0.3391003460207612,6621.475479591836,1.0519031141868511,209.4050543
41,Suburban,Middle,11275.3961,4549,25,2547.304262,Daily,UPI,3,527482.4102,11661.929411,18297.43993950178,1.6227758007117439,11275.396103070174,0.19572953736654805,38.03696294
68,Urban,Low,17048.95821,231,22,998.709045,Monthly,Wallet Balance,8,915462.3264,77760.12307199999,348192.18496153847,20.423076923076923,17048.95820903955,12.923076923076923,215.15946075000002
17,Suburban,Low,7729.877013,1594,42,2066.985949,Daily,Credit Card,4,635701.5574,12836.249751,21415.99487328767,2.7705479452054793,7729.877012360939,0.22945205479452055,0.0
35,Urban,Middle,1232.98582,561,37,3774.043175,Monthly,UPI,8,77269.6155,3722.6192068,2484.4433367041197,2.0149812734082397,1232.9858195167285,0.4307116104868914,659.63992807
43,Rural,Low,7494.639346,1806,37,674.9620978,Monthly,UPI,5,32959.50912,6481.015007,733.740915034965,0.0979020979020979,7494.639346428571,0.3916083916083916,13.59414108
62,Rural,High,4154.180338,875,31,2902.316925,Weekly,Debit Card,9,251679.629,9848.900007,7644.753594249201,1.840255591054313,4154.180338541667,0.5079872204472844,905.6966305999999
22,Suburban,Low,18784.74827,1638,4,4826.573591,Monthly,Credit Card,3,612888.5572,21131.005342,62744.932371134026,3.3402061855670104,18784.748271604938,1.1030927835051547,0.0
59,Rural,Low,13948.51418,992,24,1901.509549,Weekly,Debit Card,2,316485.1115,12929.677525,22539.990311594203,1.6159420289855073,13948.514183856503,0.18840579710144928,84.31324509999999
23,Rural,Middle,1026.144958,3735,32,218.2062158,Weekly,UPI,4,22770.05655,4536.0269142,292.14091320284695,0.2846975088967972,1026.144957625,0.3914590747330961,139.7739862
62,Rural,Middle,5866.84086,1556,6,3165.52002,Daily,Wallet Balance,2,334432.3804,21678.672388000003,34406.577125,5.864583333333333,5866.840859680285,0.6875,42.09509816
50,Rural,High,1013.817139,4353,15,235.5175767,Weekly,Debit Card,2,58521.06617,3716.9058379,8146.1096421052625,8.035087719298245,1013.8171388646288,3.5964912280701755,768.93050766
29,Urban,Low,16602.03324,4818,48,958.0283218,Monthly,Credit Card,1,1034321.827,18951.196034999997,82875.19032520325,4.991869918699187,16602.033241042347,0.8211382113821138,1131.10867
32,Urban,High,18126.86507,2476,28,241.9863808,Monthly,Credit Card,8,334663.8321,78084.30926400001,13810.944818181819,0.7619047619047619,18126.865073863635,0.8917748917748918,268.33711047
51,Suburban,High,2254.469321,3571,14,853.2530642,Monthly,UPI,1,126798.672,5815.983839699999,4058.0447758620694,1.8,2254.469319923372,0.0034482758620689655,113.11451316
65,Suburban,Middle,8811.39802,676,19,4274.661087,Monthly,Credit Card,8,669088.3811,36076.525787,76741.12926744185,8.709302325581396,8811.398020026701,2.604651162790698,52.788847770000004
55,Suburban,Low,18638.3468,3756,21,3674.256588,Monthly,Debit Card,9,868547.3206,11513.694046,27476.53060967742,1.4741935483870967,18638.346803063458,0.22580645161290322,28.630591816
19,Rural,Middle,2912.781617,424,9,1709.263194,Daily,Debit Card,6,130104.0308,5124.98014,24158.95341176471,8.294117647058824,2912.781617021277,2.9411764705882355,433.78859496000007
17,Rural,High,5845.152777,1600,7,4485.689108,Daily,Wallet Balance,7,67108.68322,28170.6743398,2563.6634986842105,0.43859649122807015,5845.152776999999,0.9429824561403509,79.39911954
21,Urban,High,6092.450257,1340,31,3325.911079,Weekly,UPI,6,552345.1173,14569.760323999999,903713.4548333334,148.33333333333334,6092.4502573033715,51.666666666666664,673.909479
69,Urban,Middle,610.8656609,629,27,2238.732978,Monthly,UPI,1,49042.69242,2689.98778792,1458.1954487096773,2.3870967741935485,610.8656609459459,0.45806451612903226,670.06294875
57,Suburban,Middle,735.1019615,4229,8,341.6644062,Monthly,Debit Card,1,39711.77684,1370.6578888,1085.1505146520146,1.4761904761904763,735.1019615384615,0.05128205128205128,538.68415848
19,Urban,Middle,19056.32861,3008,30,3653.606843,Weekly,UPI,1,1105833.725,50813.971764,31908.271162790697,1.6744186046511629,19056.32861111111,0.5784883720930233,250.1368848
69,Urban,Middle,11426.14125,2065,22,1877.630628,Daily,Debit Card,3,442584.5523,45443.325954,2170966.838,190.0,11426.141252631578,9.5,52.44726273
44,Urban,Middle,6139.899945,4463,18,1514.145021,Weekly,Debit Card,7,342997.6146,18673.516178,11812.63359057971,1.923913043478261,6139.899945386063,1.141304347826087,739.13766591
33,Urban,High,7579.706468,167,31,1441.365067,Monthly,Wallet Balance,8,262359.5722,27393.199009,27653.43458241758,3.6483516483516483,7579.706466867469,1.6483516483516483,132.43571094
41,Urban,Middle,14299.71015,4005,9,38.54612972,Daily,Debit Card,1,464621.5096,23643.774613999998,17356.13674427481,1.213740458015267,14299.710147798742,1.0,31.9832564
59,Suburban,Low,7336.678899,4012,19,3713.226014,Weekly,Debit Card,6,493152.5191,10018.029052999998,19796.90628512397,2.6983471074380163,7336.678898928025,1.3181818181818181,129.98294106
49,Suburban,High,4562.930458,16,34,726.5516851,Weekly,Wallet Balance,8,256098.0897,8189.276813300001,9960.54331707317,2.182926829268293,4562.930458100559,1.353658536585366,423.34582848
25,Urban,High,2045.728459,1545,30,2603.224194,Monthly,UPI,5,161172.2938,5099.2778217000005,19162.519734177215,9.367088607594937,2045.728458108108,0.9367088607594937,2.648021867
51,Suburban,Low,14581.3709,1530,10,80.40701002,Monthly,Debit Card,2,135793.9975,57213.636536,4172.803890675241,0.2861736334405145,14581.370898876405,1.1286173633440515,456.70229493
29,Rural,Low,3619.494683,3813,42,3139.41644,Daily,Credit Card,4,232873.7707,7036.042281,7191.364437499999,1.986842105263158,3619.4946837748344,0.875,557.8968606
46,Urban,High,1402.268916,1497,39,1847.461744,Monthly,Wallet Balance,4,81626.21073,3936.9542749,12354.472689655171,8.810344827586206,1402.268915851272,5.051724137931035,593.92412775
63,Rural,Middle,8544.819365,542,9,3153.737257,Weekly,UPI,4,40295.37271,32366.115397999998,1595.032948,0.18666666666666668,8544.819364285715,0.6444444444444445,433.54718239
30,Suburban,High,801.0235266,726,8,449.4747351,Monthly,Wallet Balance,8,80917.84474,1297.4837383000001,3509.4347574257426,4.381188118811881,801.0235265536724,0.6584158415841584,60.965229832
23,Suburban,High,19300.31119,378,41,1331.66923,Weekly,Debit Card,6,1567725.278,84753.08180100001,2595891.855,134.5,19300.31118959108,24.666666666666668,158.56054136
29,Rural,Low,12549.58642,4435,9,551.5339649,Monthly,UPI,9,1180585.936,57511.801266,387363.90099999995,30.866666666666667,12549.58642548596,2.6333333333333333,127.59032712
38,Suburban,High,3062.409241,4302,49,3230.35389,Daily,Credit Card,10,141016.5425,2494.167139,7889.252947019868,2.576158940397351,3062.4092416452445,2.0463576158940397,15.26514957
55,Urban,Middle,3457.357188,3493,36,542.7674794,Daily,Wallet Balance,1,39319.20948,3910.4857398,7779.053672222221,2.25,3457.3571876543206,5.972222222222222,854.09453923
36,Rural,Low,11400.87132,3463,36,3085.511058,Daily,Credit Card,1,468298.2716,14214.452564000001,41665.00246363636,3.6545454545454548,11400.871320895521,0.3,954.0200976
31,Urban,High,7137.749489,845,6,673.4523549,Monthly,Wallet Balance,2,80327.19336,26666.691197,6311.894176033058,0.8842975206611571,7137.749488785047,1.603305785123967,214.7254883
60,Rural,High,15487.59222,3852,19,4716.773028,Daily,Debit Card,5,184157.8871,20165.877161,7133.289360995851,0.4605809128630705,15487.592216216217,0.7385892116182573,143.62543605000002
33,Suburban,Middle,10920.67165,4821,19,2081.903387,Weekly,Wallet Balance,6,319003.6529,37793.372519,11679.637243243244,1.0694980694980696,10920.671646209386,1.111969111969112,522.92964492
62,Rural,High,8672.344172,673,7,632.9503979,Monthly,Credit Card,3,190317.6901,22529.416079,20620.907255555554,2.3777777777777778,8672.344172897196,3.7222222222222223,202.91416272
68,Rural,High,19259.97516,3520,16,209.052252,Daily,Wallet Balance,1,1440551.628,74738.84701,477005.3846666666,24.766666666666666,19259.975154777927,6.7,87.76207242
39,Urban,High,7820.673834,3039,37,1647.112769,Monthly,Debit Card,7,655685.5632,30154.178126,26992.87424472574,3.451476793248945,7820.6738337408315,0.012658227848101266,286.8804492
41,Suburban,High,8018.212367,2057,24,4456.932121,Monthly,Debit Card,1,411007.0797,35698.042553,23865.97328235294,2.976470588235294,8018.212367588933,0.31176470588235294,976.88382224
40,Urban,Middle,13318.7907,4445,12,719.0758097,Weekly,Wallet Balance,7,177887.8295,23741.209533999998,10815.930697986578,0.8120805369127517,13318.790694214877,1.7315436241610738,0.0
60,Suburban,High,16191.4769,737,44,3954.160338,Monthly,UPI,9,229862.7102,24781.99354,24655.203454545455,1.5227272727272727,16191.476895522388,1.375,439.79434722
56,Urban,High,12528.03767,3958,12,2086.859143,Monthly,Debit Card,1,1033866.052,9297.344772,2561983.7025,204.5,12528.037665036676,37.5,242.84433844
44,Rural,High,13975.21834,4312,47,4014.639254,Monthly,Wallet Balance,8,1025532.401,32196.082452000002,39929.195238095235,2.857142857142857,13975.218333333332,0.6071428571428571,0.0
30,Urban,Low,7464.902056,3449,1,4371.456744,Weekly,Debit Card,10,732935.8494,19359.009039999997,140808.54466666665,18.862745098039216,7464.902056133056,4.254901960784314,79.42323773700001
60,Suburban,Middle,9595.141761,1724,36,4989.087788,Daily,Debit Card,9,369533.2154,42541.496034,148324.89970833334,15.458333333333334,9595.141760107816,5.625,216.88590195999998
16,Suburban,Low,3948.731378,2653,41,340.9873832,Daily,Debit Card,8,118717.9027,15195.247482,22061.390521739133,5.586956521739131,3948.731377431907,5.565217391304348,807.9349242
40,Rural,Low,13608.12735,1061,41,3981.506304,Monthly,Debit Card,1,953717.7231,16591.185388,81766.07553448276,6.008620689655173,13608.127348637016,0.5344827586206896,946.0671822400001
22,Suburban,Middle,4436.824289,4683,10,348.4444187,Daily,Debit Card,4,368250.3561,17732.9474548,131132.80677777776,29.555555555555557,4436.824289473684,10.62962962962963,54.036777744
24,Urban,Low,35.12333992,1318,19,1573.963559,Monthly,Debit Card,10,17099.78485,50.399449571000005,352.7122767368421,10.042105263157895,35.12333992662474,0.6631578947368421,68.3594327
39,Rural,Low,18675.90477,829,8,3231.161273,Daily,UPI,4,1638984.087,20059.687318,165064.81494949493,8.83838383838384,18675.904777142856,2.95959595959596,636.2200944
16,Suburban,Low,6127.244672,3585,44,2236.442175,Daily,UPI,1,121742.183,24296.603401,9507.793456896552,1.5517241379310345,6127.244672222222,0.5862068965517241,251.57513584
59,Suburban,Middle,3940.674529,3221,44,2826.284376,Weekly,Debit Card,7,384093.7914,17619.710218999997,13321.193242753623,3.380434782608696,3940.674528403001,0.8152173913043478,585.7371561
23,Urban,High,5370.253152,3384,28,4830.960605,Weekly,UPI,7,39929.73483,6262.551459,767.1790217261905,0.14285714285714285,5370.253152083334,0.9970238095238095,444.64937640000005
39,Urban,Middle,6615.649475,2147,33,4093.283791,Weekly,Debit Card,10,411824.7617,24985.914093,41713.410905263154,6.3052631578947365,6615.649475792988,1.4421052631578948,1111.60761408
26,Rural,Middle,9496.183065,1302,4,1818.347786,Daily,Debit Card,9,862902.447,38610.710596,42804.40306030151,4.507537688442211,9496.18306465998,0.23115577889447236,147.89400132
66,Suburban,Middle,1396.339904,3075,30,2999.723174,Daily,Wallet Balance,8,18303.18423,1797.9875657,181.71546691780824,0.13013698630136986,1396.3399036842106,0.6506849315068494,183.79525952
32,Urban,Low,1062.936393,4805,25,242.4151402,Daily,Credit Card,3,19878.29984,2003.1844597999998,315.4520907096774,0.2967741935483871,1062.9363926086955,1.8709677419354838,89.352033638
23,Rural,High,5865.286203,1960,36,2264.491186,Daily,UPI,2,272912.1622,22245.8564152,9797.20028888889,1.6703703703703703,5865.2862039911315,1.348148148148148,561.8187255
50,Suburban,Middle,5922.364963,1700,43,3041.982677,Weekly,Credit Card,10,548007.3823,23050.398319,16567.862105919,2.797507788161994,5922.364962138085,0.7694704049844237,290.33005041
50,Suburban,Middle,2361.748094,3020,19,3573.585647,Weekly,Debit Card,3,22378.9965,5309.7290140000005,479.1952655797101,0.2028985507246377,2361.7480946428573,1.144927536231884,320.66172704
48,Rural,High,8101.78397,1024,7,4507.586444,Daily,Wallet Balance,8,608836.399,10228.353383,18415.404668711657,2.273006134969325,8101.783970310392,0.8957055214723927,451.90940032
20,Rural,High,5687.733077,599,5,1415.291168,Daily,Debit Card,6,380674.4176,18192.095977,14597.03371875,2.56640625,5687.733077625571,0.8359375,354.0341868
57,Urban,High,530.8505004,1441,17,4510.852167,Weekly,Debit Card,3,10210.39852,1866.5449357,1085.2943562222222,2.0444444444444443,530.850500326087,5.688888888888889,485.67788072
54,Suburban,Low,17715.5584,4105,7,3307.59258,Daily,Wallet Balance,2,154523.7826,50965.973354999995,1452675.789,82.0,17715.558402439026,48.0,453.82589584
56,Suburban,High,17721.52017,2422,24,388.2286114,Monthly,Wallet Balance,1,1314125.922,21893.431750000003,88848.70999999999,5.01360544217687,17721.52017639077,0.6326530612244898,425.2529492
43,Suburban,Low,4191.553236,645,1,1901.66442,Weekly,UPI,8,41552.43835,17307.195245,1122.48374779661,0.2677966101694915,4191.553235443038,0.020338983050847456,517.483962
22,Rural,Middle,3265.815841,1991,27,2382.975594,Weekly,Wallet Balance,3,224687.5209,10127.963914,13948.194109677419,4.2709677419354835,3265.8158413897277,1.2451612903225806,502.63386420000006
24,Urban,Low,10950.38236,3196,41,1762.436329,Daily,UPI,3,968579.1618,45678.148067,170708.6392857143,15.589285714285714,10950.382359679268,1.8392857142857142,363.101049
23,Suburban,High,12618.76252,3372,24,579.6983506,Monthly,UPI,5,370965.1303,58083.783703,15801.370769911506,1.252212389380531,12618.762522968198,0.3274336283185841,87.82363329
27,Rural,Low,19151.27572,4747,19,2757.922814,Daily,UPI,5,610619.7136,74084.254721,850863.8214285715,44.42857142857143,19151.27572347267,10.571428571428571,910.52105058
49,Suburban,High,7553.195648,1646,5,658.767148,Monthly,Credit Card,9,765516.2226,33406.939727,376526.80305,49.85,7553.195647943831,5.65,50.319178992
48,Urban,Low,12367.82485,3141,36,4575.136032,Daily,Credit Card,5,210479.6296,57545.384771,12445.609918238993,1.0062893081761006,12367.82485625,0.9559748427672956,137.91358904
63,Suburban,Middle,17564.83911,4319,15,4326.265304,Weekly,UPI,7,570023.7831,56168.056917999995,16324.968108823528,0.9294117647058824,17564.83910443038,0.7735294117647059,822.25699542
38,Urban,Low,9004.576178,1754,34,2376.078293,Weekly,UPI,7,802421.2916,31654.84581,99962.1937721519,11.10126582278481,9004.576177879133,1.0886075949367089,741.9148774800001
39,Urban,Middle,2455.691566,750,35,338.7432305,Monthly,Credit Card,7,252242.8327,9060.118574099999,2404122.043,979.0,2455.6915658835546,58.0,531.9489405
52,Suburban,High,7555.171244,842,0,2761.027048,Monthly,UPI,5,509988.9256,25483.2666875,15020.399973214286,1.9880952380952381,7555.171244011975,0.44345238095238093,9.569677839
50,Suburban,Middle,2739.972865,3414,13,2961.183555,Daily,Debit Card,3,52390.98491,1936.2179259999998,1866.531733187773,0.6812227074235808,2739.9728647435895,0.9344978165938864,323.41410530999997
59,Urban,High,342.6228894,3428,13,4442.113998,Weekly,Debit Card,7,43359.85558,696.7497291,1428.3996516431923,4.169014084507042,342.6228894144144,1.408450704225352,105.0619233
55,Rural,High,15033.5456,3510,23,337.5875852,Daily,Wallet Balance,8,1090546.362,14461.751908999999,37929.15745583039,2.522968197879859,15033.545602240896,0.9929328621908127,95.84986529
37,Urban,Middle,4776.089773,2303,18,3460.523864,Daily,UPI,4,232196.7394,9271.328815,9012.943604838709,1.8870967741935485,4776.089773504274,0.38306451612903225,162.42819622
42,Suburban,Middle,50.12084632,2714,37,2814.024458,Weekly,UPI,6,18337.11772,51.04049177,387.91007949579836,7.739495798319328,50.120846319218245,1.7478991596638656,48.55498874
50,Suburban,Low,17449.92283,1505,43,873.8726684,Monthly,Debit Card,5,1500351.481,76067.333609,65571.73643171806,3.7577092511013217,17449.922825322392,0.6299559471365639,152.184334512
16,Rural,Low,8881.338881,1427,17,608.6672384,Weekly,UPI,10,424567.5227,21336.429769,170965.77345833334,19.25,8881.33888095238,3.4583333333333335,713.89175696
50,Urban,Middle,4784.808994,3854,8,3469.754153,Weekly,Debit Card,2,417395.811,6703.808852,21506.457268421054,4.494736842105263,4784.808994145199,0.2736842105263158,693.90068506
52,Urban,Middle,5263.171547,2742,12,1699.104392,Monthly,Debit Card,1,68413.55491,16358.924555,1999.3216590909092,0.37987012987012986,5263.171547008547,0.05519480519480519,103.30674003000001
62,Urban,Middle,4818.352487,4071,50,4999.69848,Weekly,UPI,6,337544.4264,7454.881878,10452.842853420196,2.1693811074918568,4818.352486486487,0.7100977198697068,408.96575062
29,Suburban,Middle,3899.177662,3274,44,4470.015798,Monthly,UPI,10,160643.059,14865.846113,24900.011736842105,6.385964912280702,3899.1776620879123,4.0,0.0
18,Urban,High,16826.11223,2608,50,2828.587367,Weekly,Debit Card,6,1433242.967,32134.808203999997,45609.043762057874,2.710610932475884,16826.112230130486,0.9389067524115756,1234.484121
16,Rural,Middle,3414.929371,2374,18,3208.657929,Monthly,UPI,7,227425.7143,7241.057427,6973.528909385114,2.042071197411003,3414.929370839937,0.6504854368932039,121.8677461
20,Suburban,Middle,11241.47513,2464,9,794.4328132,Monthly,UPI,5,809699.6654,48547.499628,89805.49233707866,7.98876404494382,11241.475130801688,0.9213483146067416,208.74752805
